SEG_ID,START_POINT,END_POINT,COUNT
0.0,POINT (465185.6 4435719.8),POINT (465208.8 4435697.4),5
0.0,POINT (465208.8 4435697.4),POINT (465185.6 4435719.8),3
0.0,POINT (465305.2390287677 4433596.150610527),POINT (465357.65467645467 4433619.1713543665),21
0.0,POINT (465460.8 4434530.3),POINT (465502 4434575.1),1
0.0,POINT (465485.1 4435524.8),POINT (465511.4 4435568.1),2
0.0,POINT (465491.2 4434961.8),POINT (465528.4 4434926.1),4
0.0,POINT (465502 4434575.1),POINT (465530.9 4434619.6),1
0.0,POINT (465515.7 4434751.2),POINT (465548.1 4434719.8),5
0.0,POINT (465526.9 4434654.4),POINT (465561.7 4434623.5),1
0.0,POINT (465528.4 4434926.1),POINT (465554.7 4434929.2),4
0.0,POINT (465539.6 4433851.4),POINT (465540.9 4433840.6),19
0.0,POINT (465540.9 4433840.6),POINT (465539.6 4433851.4),19
0.0,POINT (465544.4 4434166.7),POINT (465499.4 4434197.7),1
0.0,POINT (465554.7 4434929.2),POINT (465580.6 4434972.2),1
0.0,POINT (465554.7 4434929.2),POINT (465589.8 4434892.8),4
0.0,POINT (465573 4435561.1),POINT (465485.1 4435524.8),2
0.0,POINT (465575.3 4433884.8),POINT (465611.1 4433929.2),94
0.0,POINT (465580.6 4434723.4),POINT (465613.1 4434692),5
0.0,POINT (465587 4434136.6),POINT (465544.4 4434166.7),1
0.0,POINT (465587 4434136.6),POINT (465620.6 4434175.7),90
0.0,POINT (465591.9 4434626.6),POINT (465624.3 4434595.2),1
0.0,POINT (465611.1 4433929.2),POINT (465575.3 4433884.8),105
0.0,POINT (465616.3 4434664.7),POINT (465649.5 4434633.3),6
0.0,POINT (465620.6 4434175.7),POINT (465587 4434136.6),16
0.0,POINT (465620.6 4434175.7),POINT (465634.2 4434177.1),90
0.0,POINT (465634.2 4434177.1),POINT (465620.6 4434175.7),16
0.0,POINT (465634.2 4434177.1),POINT (465668.3 4434216.1),90
0.0,POINT (465638.3 4434730.2),POINT (465605 4434761.5),1
0.0,POINT (465638.3 4434730.2),POINT (465613.1 4434692),1
0.0,POINT (465643.3 4434968.6),POINT (465554.7 4434929.2),1
0.0,POINT (465668.3 4434216.1),POINT (465634.2 4434177.1),16
2.0,POINT (465339.2 4433634),POINT (465357.7 4433619.2),123
2.0,POINT (465357.7 4433619.2),POINT (465339.2 4433634),113
3.0,POINT (465339.2 4433634),POINT (465373.1 4433661.7),113
3.0,POINT (465373.1 4433661.7),POINT (465339.2 4433634),123
8.0,POINT (465357.9 4433666.4),POINT (465336.2 4433671.4),1
10.0,POINT (465373.1 4433661.7),POINT (465357.9 4433666.4),1
11.0,POINT (465442.2 4433669.7),POINT (465475.3 4433673.5),113
11.0,POINT (465475.3 4433673.5),POINT (465442.2 4433669.7),124
14.0,POINT (465373.1 4433661.7),POINT (465409.8 4433666),113
14.0,POINT (465409.8 4433666),POINT (465373.1 4433661.7),124
15.0,POINT (465409.8 4433666),POINT (465442.2 4433669.7),113
15.0,POINT (465442.2 4433669.7),POINT (465409.8 4433666),124
23.0,POINT (465475.3 4433673.5),POINT (465507.9 4433677.3),113
23.0,POINT (465507.9 4433677.3),POINT (465475.3 4433673.5),124
30.0,POINT (465507.9 4433677.3),POINT (465540.4 4433681),113
30.0,POINT (465540.4 4433681),POINT (465507.9 4433677.3),124
45.0,POINT (465540.4 4433681),POINT (465556.3 4433708),113
45.0,POINT (465556.3 4433708),POINT (465540.4 4433681),124
47.0,POINT (465553.7 4433729.8),POINT (465556.3 4433708),124
47.0,POINT (465556.3 4433708),POINT (465553.7 4433729.8),113
49.0,POINT (465548.9 4433771),POINT (465553.7 4433729.8),124
49.0,POINT (465553.7 4433729.8),POINT (465548.9 4433771),113
51.0,POINT (465547.7 4433781.9),POINT (465548.9 4433771),124
51.0,POINT (465548.9 4433771),POINT (465547.7 4433781.9),113
52.0,POINT (465544.1 4433812.7),POINT (465547.7 4433781.9),124
52.0,POINT (465547.7 4433781.9),POINT (465544.1 4433812.7),113
57.0,POINT (465540.9 4433840.6),POINT (465544.1 4433812.7),124
57.0,POINT (465544.1 4433812.7),POINT (465540.9 4433840.6),113
58.0,POINT (465540.9 4433840.6),POINT (465575.3 4433884.8),94
58.0,POINT (465575.3 4433884.8),POINT (465540.9 4433840.6),105
65.0,POINT (466145.9 4433991.4),POINT (466056.9 4433981.1),19
66.0,POINT (466295.1432641504 4434008.23518785),POINT (466145.9282971707 4433991.4058510475),19
67.0,POINT (466372.2 4434017.6),POINT (466295.1 4434008.2),5
68.0,POINT (466404.8 4434032.9),POINT (466372.2 4434017.6),11
69.0,POINT (466404.8 4434032.9),POINT (466425.4 4434001.6),6
69.0,POINT (466425.4 4434001.6),POINT (466404.8 4434032.9),5
70.0,POINT (466531.76596876653 4433964.35632221),POINT (466425.37955749634 4434001.612780959),5
72.0,POINT (466392.1 4433988.1),POINT (466407 4433956.4),5
72.0,POINT (466407 4433956.4),POINT (466392.1 4433988.1),4
73.0,POINT (466501.4201949456 4433903.368013343),POINT (466406.9565312836 4433956.366336456),5
74.0,POINT (466407 4433956.4),POINT (466373.4 4433950.2),1
75.0,POINT (466373.4 4433950.2),POINT (466382 4433913.8),3
75.0,POINT (466382 4433913.8),POINT (466373.4 4433950.2),1
76.0,POINT (466463.34333025897 4433847.196579875),POINT (466381.9907520352 4433913.788298811),4
77.0,POINT (466345.7 4433914.9),POINT (466382 4433913.8),1
77.0,POINT (466382 4433913.8),POINT (466345.7 4433914.9),3
78.0,POINT (466401.62562723015 4433771.310604087),POINT (466344.449591732 4433848.267551797),3
79.0,POINT (466314.4667648464 4433889.2381512895),POINT (466344.449591732 4433848.267551797),1
80.0,POINT (466314.5 4433889.2),POINT (466344.4 4433848.3),3
80.0,POINT (466344.449591732 4433848.267551797),POINT (466314.4667648464 4433889.2381512895),3
82.0,POINT (466253.17351554474 4433842.950995149),POINT (466283.2372673312 4433802.928581127),1
86.0,POINT (466215.8 4433814.7),POINT (466192.5 4433797.1),2
87.0,POINT (466215.7783324653 4433814.71107154),POINT (466314.4667648464 4433889.2381512895),2
87.0,POINT (466314.4667648464 4433889.2381512895),POINT (466215.7783324653 4433814.71107154),7
88.0,POINT (466314.5 4433889.2),POINT (466335 4433905.2),3
88.0,POINT (466335 4433905.2),POINT (466314.5 4433889.2),11
89.0,POINT (466373.4 4433950.2),POINT (466345.7 4433914.9),7
90.0,POINT (466373.4 4433950.2),POINT (466392.1 4433988.1),1
90.0,POINT (466373.41307063104 4433950.150460108),POINT (466392.14162115945 4433988.065704164),1
90.0,POINT (466392.1 4433988.1),POINT (466373.4 4433950.2),10
91.0,POINT (466392.1 4433988.1),POINT (466404.8 4434032.9),6
91.0,POINT (466404.8 4434032.9),POINT (466392.1 4433988.1),15
92.0,POINT (466404.8 4434032.9),POINT (466409 4434068.1),3
92.0,POINT (466409 4434068.1),POINT (466404.8 4434032.9),24
93.0,POINT (466409 4434068.1),POINT (466409.3 4434091),3
